http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	jrk_template	Phylum	Class	Order	Family	GENUS	COMMENT on genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L57	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11019	Ascomycota	Dothideomycetes	Capnodiales	Xenodevriesiaceae	Xenodevriesia		plant_pathogen				unspecified_plant_pathogen			non-aquatic		Strelitzia	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L58	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11020	Ascomycota	Dothideomycetes	Dothideales	Neocelosporiaceae	Neocelosporium									non-aquatic		Eucalyptus 	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L59	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Dothideomycetes family incertae sedis	Pseudoconlarium		wood_saprotroph					wood											
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L60	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11021	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Neoparodiaceae	Neoparodia		plant_pathogen				leaf/fruit/seed_pathogen			non-aquatic		Trema	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L61	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11022	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Paranectriellaceae	Araneomyces		litter_saprotroph			no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L62	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11024	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Lichenopeltella		lichen_parasite	fungal_decomposer				fungal_material,algal_material					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L63	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11025	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Pachythyrium		mycoparasite	fungal_decomposer				fungal_material				Diatrypaceae	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L64	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11026	Ascomycota	Dothideomycetes	Dothideomycetes order incertae sedis	Trichothyriaceae	Trichothyrium		unspecified_saprotroph	mycoparasite				fungal_material					filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L65	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11027	Ascomycota	Dothideomycetes	Eremithallales	Melaspileaceae	Eremithallus		lichenized							non-aquatic			thallus_photosynthetic					trentepohlioid	
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L66	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Neojahnula		wood_saprotroph					wood		freshwater			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L67	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Jahnulales	Aliquandostipitaceae	Pseudojahnula		wood_saprotroph					wood		freshwater			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L68	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11029	Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Neomycoleptodiscus		litter_saprotroph					leaf/fruit/seed		non-aquatic		Gyranthera	filamentous_mycelium						
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L69	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Pseudopalawania		litter_saprotroph					leaf/fruit/seed		non-aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L70	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		Ascomycota	Dothideomycetes	Muyocopronales	Muyocopronaceae	Setoapiospora		wood_saprotroph					wood		non-aquatic			filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed				
line:xlsx:hash://md5/9168998921adc01b1cf63d9cdca8342e!/data!/L71	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	jrk11030	Ascomycota	Dothideomycetes	Pleosporales	Aigialaceae	Posidoniomyces		root_endophyte			root_endophyte_dark_septate				marine		Posidonia	filamentous_mycelium						
